signal,isosbestic,time
70.86427497293596,28.36991091756129,0.0
70.82309907499574,28.40714071306776,0.05
70.88710768698556,28.362940016004888,0.1
71.23268677142029,28.4538190864585,0.15
70.97361888243084,28.327292284924226,0.2
71.09440711125583,28.54430692317165,0.25
70.71453436355833,28.224258377057446,0.3
70.89882650044639,28.33565285364363,0.35
70.8346031054087,28.093639365105307,0.4
71.13629616945204,28.074324867418657,0.45
71.0817071118685,28.413920585693102,0.5
70.59568972568835,28.132227577957664,0.55
70.96872805482857,27.950710512741118,0.6
70.54999823370208,28.46071021630657,0.65
71.08142970474077,28.35076463636886,0.7
70.68191987732419,28.59585146186471,0.75
70.77219411565565,28.088230055884427,0.8
70.36567939286704,28.415086012772036,0.85
70.77054615864154,28.077781282934986,0.9
70.66174083046661,28.28096571805506,0.95
70.93784064449711,28.38929973693698,1.0
71.19917181748053,28.29411516167987,1.05
70.7339879240776,28.563192252022077,1.1
70.82883756116321,28.196000650323956,1.15
70.90689468998268,27.902603102098,1.2
70.85679422385803,28.387123122264345,1.25
71.07027801326066,28.16343566993274,1.3
70.96396762646988,27.931096384259504,1.35
70.73574319962387,27.98535445750229,1.4
71.17709622565997,28.330619265907707,1.45
70.89692640396116,28.546390625190682,1.5
70.85863503382053,28.417007889067857,1.55
70.8700816940111,28.495636356344264,1.6
70.72153236294628,27.882130936594574,1.65
70.50686999345547,28.024799643586586,1.7
70.77543132995086,28.507774989612734,1.75
70.62501445772907,28.374206278256313,1.8
70.60164082869186,28.082846789298767,1.85
70.76177124989373,28.208098251462918,1.9
70.5917252737273,28.15415360511443,1.95
70.62258368481318,28.328107711440296,2.0
70.94640406609199,27.987209831930763,2.05
70.41635142553724,27.89924792805095,2.1
70.69041275150917,28.062102645157417,2.15
70.68714434684925,28.30515885244662,2.2
70.33740243181305,28.47899124638781,2.25
70.66051666783501,28.394208792131426,2.3
70.5179758852147,28.35786037985826,2.35
70.09724024063298,27.951573903613237,2.4
70.53772221902749,28.23251816941061,2.45
70.69144760836863,28.443590642039904,2.5
70.72016567463128,27.896095988518137,2.55
70.6989983150273,28.20995501750106,2.6
70.57171429516141,28.291830938093458,2.65
71.00397173203243,28.105499715556142,2.7
70.21249262332498,28.158966322526506,2.75
70.77087074610598,28.179376669942183,2.8
70.42890418581942,28.204778728106596,2.85
70.43754807352865,27.827457964683497,2.9
70.1381927388882,28.02974044855527,2.95
70.60524570858705,27.85837897566635,3.0
70.29122218158584,28.162882302154927,3.05
70.69580904370136,27.837059770518714,3.1
70.2691608339923,27.853216640334047,3.15
70.36416243939372,28.567712307661694,3.2
70.97501592363034,28.486830466003752,3.25
70.50279438683846,28.289125862894956,3.3
70.18146950292815,28.424284031924355,3.35
70.4656116575741,28.121104844653317,3.4
70.17452927238438,28.243201512864065,3.45
70.43604022513856,28.25427779449759,3.5
70.18874985297865,28.156528503205127,3.55
70.11086870983115,27.902414955253057,3.6
70.32609974277152,28.08633965285103,3.65
70.17113056239582,27.88078832693327,3.7
70.33391611773293,28.08344811956657,3.75
70.31772214585884,28.148757004239542,3.8
70.2933961605257,28.33341868908914,3.85
70.163358206119,27.96228320185704,3.9
70.5161851227948,28.180015325135162,3.95
70.55072894605149,28.34023918652639,4.0
70.30161652666712,28.1317720032901,4.05
70.25140628217696,27.925068849969048,4.1
70.58732996092675,28.248513804564336,4.15
69.91012620130651,28.324428983504603,4.2
70.66506513007194,28.265124397978845,4.25
70.25026189164919,27.977559384380214,4.3
70.28213214000408,28.077496897992024,4.35
70.49085859526349,28.33132344226666,4.4
70.46062067489001,28.348306285883623,4.45
70.21666356983344,27.880510899331647,4.5
70.59040794426869,28.278412614319336,4.55
70.31291456542567,28.119683981683288,4.6
70.30160173352851,28.43663320408072,4.65
70.25126132489632,28.341554660409784,4.7
70.0495630020922,27.828618661970328,4.75
70.00735504799752,28.30652823631607,4.8
69.95652066900259,27.879976028014358,4.85
70.06867468674902,27.890029972963212,4.9
70.22602418422463,27.673162020203787,4.95
70.32922733683543,27.986870299299902,5.0
70.00525557947095,28.40506995803806,5.05
70.11257630104612,28.117573310367938,5.1
70.03119689870316,28.353035515813122,5.15
70.32141663000769,27.942036923522824,5.2
70.0961293243065,28.00191495126665,5.25
70.35026376104597,28.06834072017791,5.3
70.38292041863386,28.342543618651952,5.35
70.3867390488115,27.81699150635177,5.4
69.69366257406968,27.925516669120242,5.45
70.58054053698655,27.769689075068683,5.5
69.8799892307564,27.982347528622967,5.55
70.24093478171474,28.068578209492642,5.6
69.86999950298487,28.25721364071536,5.65
69.46696417732336,28.175228143726272,5.7
69.70691286177392,28.24755314156633,5.75
69.92267996098133,27.71909920920131,5.8
70.30066587902861,27.7482042624186,5.85
69.89808719093742,28.476942742989724,5.9
69.97250294298766,27.897465633823636,5.95
69.78904305261882,27.55233599933024,6.0
69.84008936916929,28.034761008733877,6.05
70.2912340788411,27.857955525947695,6.1
69.91432193546432,28.15207027259095,6.15
69.9399490676309,27.84613545849068,6.2
69.63527991018377,27.706637082537764,6.25
69.49413375273633,27.888464265715328,6.3
70.0972902717933,27.721023055746684,6.35
69.61554955458496,27.760639629978584,6.4
69.87977857394763,27.578953639381343,6.45
70.08494602003437,28.08091145320633,6.5
69.61412452592009,28.14946599031609,6.55
69.8366993309634,27.72604111397172,6.6
69.92099980822236,28.239677631325577,6.65
70.02826641754493,27.843801439723244,6.7
69.83804899474087,28.222220465317985,6.75
69.5609928661775,28.20489118526089,6.8
69.898063542516,28.006028546822744,6.85
69.77035431354699,27.85169802273531,6.9
70.2677360303157,28.177103457674125,6.95
69.93212005383543,27.673349622394372,7.0
69.69641795093051,27.748074094832088,7.05
69.66011319899894,27.776829531675663,7.1
69.51843049430421,27.701375200464547,7.15
69.86330130730776,28.00822522080107,7.2
70.0736963683949,27.810744142129533,7.25
69.71603601746378,27.808331389135173,7.3
69.92144709816222,27.84325500604962,7.35
69.36434780258276,27.74073000062548,7.4
69.7360187851865,27.69759319160809,7.45
69.70017224528652,28.145485836786207,7.5
69.86544356324441,27.830122378038375,7.55
69.52021044178889,28.06387016295258,7.6
69.59932492383513,28.06461838451924,7.65
69.61738812883583,28.162094944167475,7.7
69.9099576586602,27.49474269216809,7.75
69.3774087010509,27.865411430452944,7.8
69.58584850462766,27.884274358221816,7.85
69.65993895474327,27.919074993347703,7.9
70.12424971612096,28.2139055206682,7.95
69.92093378559062,27.82824980077051,8.0
69.61039078291664,28.11667726098325,8.05
69.6132462279768,28.15488714697228,8.1
69.6538397554377,28.055065767641356,8.15
69.73706995765477,27.436644917348723,8.2
69.68565393639076,27.664195867178762,8.25
69.43277351194358,27.824307371013585,8.3
69.99604632533213,27.525660757900397,8.35
69.50766841473249,27.76477121984392,8.4
69.84647403282266,28.06835466769506,8.45
69.70378473942125,27.97161740554851,8.5
69.78579700302217,27.459361775419403,8.55
69.66969304318143,27.636603571546562,8.6
69.50270741197505,28.333804864899566,8.65
69.6976744362448,27.886751997892002,8.7
69.71215325931746,28.059224967483765,8.75
69.31803246450993,27.738134128939432,8.8
69.50691601822336,27.644350310982958,8.85
69.59441486109355,28.118207030536347,8.9
69.37348930349454,27.895367815887138,8.95
69.55980308505295,27.701135780833507,9.0
69.29980413524315,27.755033338586156,9.05
69.0983050080246,28.05358204501278,9.1
69.64976674066045,27.918251634594125,9.15
69.38514985530723,27.436053752929066,9.2
69.08983650968852,27.767547718194752,9.25
69.49543446892562,27.859845247458182,9.3
69.69396773708894,27.905591492669352,9.35
69.19206263963359,28.151487962338155,9.4
