time,raw_signal,raw_isosbestic,trial_cue,lever1,lever2,shock
0.0,60.29036361182161,48.317356756204354,False,False,False,False
0.05,61.01370990191386,48.860030583213806,False,False,False,False
0.1,59.782856807522705,48.28675218255954,False,False,False,False
0.15,59.85064087996781,48.44312150021695,False,False,False,False
0.2,60.30103094089542,48.13768636225182,False,False,False,False
0.25,60.67609683802744,48.55448541604779,False,False,False,False
0.3,60.52299851235551,48.02494311430202,False,False,False,False
0.35,60.777849591934455,48.98445585935836,False,False,False,False
0.4,60.41189815479852,47.94393455880768,False,False,False,False
0.45,61.391891345333775,49.19164980664313,False,False,False,False
0.5,60.43861853753183,48.876172902505914,False,False,False,False
0.55,60.30985837579239,47.860162497275276,False,False,False,False
0.6,59.960933130623516,49.04472369789939,False,False,False,False
0.65,60.95508780425186,49.07673039035506,False,False,False,False
0.7,60.154822280852265,47.770664408658526,False,False,False,False
0.75,60.69706071084767,48.96811756238522,False,False,False,False
0.8,60.89489163208082,48.543156106193656,False,False,False,False
0.85,59.585751596997206,47.6575453937768,False,False,False,False
0.9,59.96609885714707,48.86116832098426,False,False,False,False
0.95,59.64343505403862,48.48129984442264,False,False,False,False
1.0,60.118670984421975,48.53033662430031,False,False,False,False
1.05,62.14008823746523,49.599339545684764,False,False,False,False
1.1,61.337562363598636,47.45889672228248,False,False,False,False
1.15,61.848533914161166,48.55983889628548,False,False,False,False
1.2,60.70537413703202,48.682958951520504,False,False,False,False
1.25,60.529555001637284,48.84991518826644,False,False,False,False
1.3,61.066873800524164,48.519695381050035,False,False,False,False
1.35,60.43644333578202,48.056996307870946,False,False,False,False
1.4,60.94309515639153,48.788346042248946,False,False,False,False
1.45,60.89720785524581,48.2253491747709,False,False,False,False
1.5,60.00637643223049,48.56627348078796,False,False,False,False
1.55,61.29361612651055,47.840215317101155,False,False,False,False
1.6,60.42361860525955,49.067166591081,False,False,False,False
1.65,61.14264484473412,48.858153460279716,False,False,False,False
1.7,61.25422556316098,48.966462620350526,False,False,False,False
1.75,60.986827607992254,48.69840770452856,False,False,False,False
1.8,60.83328035282575,48.598033359847854,False,False,False,False
1.85,60.15059689446329,47.51457935478802,False,False,False,False
1.9,60.597464875109246,48.59564898067076,False,False,False,False
1.95,61.18176555045078,46.7501499722464,False,False,False,False
2.0,61.238447698739044,48.78546523367181,False,False,False,False
2.05,60.48684971181028,49.27944949814771,False,False,False,False
2.1,60.78907360457816,48.08296023334266,False,False,False,False
2.15,60.79841544488698,48.832167693512105,False,False,False,False
2.2,60.19510819436785,47.32737160212702,False,False,False,False
2.25,60.41197213377243,48.448228856178844,False,False,False,False
2.3,60.730900891931626,48.637696038010844,False,False,False,False
2.35,60.64320936313607,48.126184307202394,False,False,False,False
2.4,60.14925189194708,47.919811496722765,False,False,False,False
2.45,60.356333219978225,49.70261336176608,False,False,False,False
2.5,60.22254521671514,48.70166699061819,False,False,False,False
2.55,60.35829555217964,48.08951265987528,False,False,False,False
2.6,60.59945887347937,48.55683941559833,False,False,False,False
2.65,60.19277561162963,48.69898993944474,False,False,False,False
2.7,59.87178827985473,48.521524716594186,False,False,False,False
2.75,60.74031114918943,47.80653290955949,False,False,False,False
2.8,60.20371886670069,48.91263287598856,False,False,False,False
2.85,59.92844472071737,48.48337008300532,False,False,False,False
2.9,61.002207759010155,48.33036544009821,False,False,False,False
2.95,60.983032117415654,47.904933004340336,False,False,False,False
3.0,60.2886389114016,47.55201982236998,False,False,False,False
3.05,59.70609864331315,49.03440562126387,False,False,False,False
3.1,61.40003756868891,48.24605288729211,False,False,False,False
3.15,60.98620666663869,48.14030731882146,False,False,False,False
3.2,59.52695443387638,48.731090971574794,False,False,False,False
3.25,60.98376285528347,48.11866190202055,False,False,False,False
3.3,60.79284669217836,47.74872552913283,False,False,False,False
3.35,59.51448785910029,48.850776189726744,False,False,False,False
3.4,60.604330037277855,48.85919647736684,False,False,False,False
3.45,60.09604641104533,47.91590749499055,False,False,False,False
3.5,60.48015880213532,48.5254354758524,False,False,False,False
3.55,60.00731702102816,48.27501602517434,False,False,False,False
3.6,60.42136034121816,47.790268195183266,False,False,False,False
3.65,61.270174721327145,47.910109850979275,False,False,False,False
3.7,60.230867936567904,47.208566366281204,False,False,False,False
3.75,61.267630178217374,47.421921106190375,False,False,False,False
