,time,raw_signal,raw_isosbestic,trial_cue,lever1,lever2,shock
0,0.0,58.49704502425583,48.032387509251954,False,False,False,False
1,0.05,58.97269332587024,47.259110287675064,False,False,False,False
2,0.1,58.67051598706453,47.613444300417925,False,False,False,False
3,0.15,59.491490049814495,47.36224512122135,False,False,False,False
4,0.2,59.040493383400275,47.80286565928707,False,False,False,False
5,0.25,58.9348188804301,48.063073909880416,False,False,False,False
6,0.3,59.239715257263505,47.340010980029746,False,False,False,False
7,0.35,58.69056301913498,47.73415153930939,False,False,False,False
8,0.4,59.80606884751965,46.80557641783104,False,False,False,False
9,0.45,59.644781737558716,47.45967010580531,False,False,False,False
10,0.5,59.64653177058853,48.13405433299085,False,False,False,False
11,0.55,58.54801540946513,47.29615779512626,False,False,False,False
12,0.6,59.174150641350465,47.52900451653545,False,False,False,False
13,0.65,59.429014586017466,47.85432203492583,False,False,False,False
14,0.7,58.51075395567253,47.11794651303568,False,False,False,False
15,0.75,58.31347846015755,48.38432567731225,False,False,False,False
16,0.8,58.45711480851285,47.15415389533104,False,False,False,False
17,0.85,58.19067690842342,47.46377481948634,False,False,False,False
18,0.9,59.5016061167367,46.39309020484211,False,False,False,False
19,0.95,59.411296966854486,47.85913439138339,False,False,False,False
20,1.0,58.69574024508803,47.44386284767256,False,False,False,False
21,1.05,58.86467413650667,47.3184740210751,False,False,False,False
22,1.1,58.444341102774246,46.789197392057595,False,False,False,False
23,1.15,60.02014499040303,48.28664517798695,False,False,False,False
24,1.2,58.664426845297974,47.53975223736175,False,False,False,False
25,1.25,58.703328416275255,48.10264573943374,False,False,False,False
26,1.3,58.86031716222269,47.306311798098136,False,False,False,False
27,1.35,58.20964857751161,47.284129721828826,False,False,False,False
28,1.4,59.047357075583825,47.31873048436258,False,False,False,False
29,1.45,59.62462516210067,47.06001302567786,False,False,False,False
30,1.5,58.80821635321042,47.14000037846451,False,False,False,False
31,1.55,59.51817744727907,47.243431276397104,False,False,False,False
32,1.6,58.1355776801548,48.151462462556616,False,False,False,False
33,1.65,58.46929190494128,46.220385685170854,False,False,False,False
34,1.7,59.145965685630124,47.963912167847134,False,False,False,False
35,1.75,58.13356300417718,46.834995919593936,False,False,False,False
36,1.8,77.9621723025909,62.25919659096827,False,False,False,False
37,1.85,77.8464520660989,62.021878294594465,False,False,False,False
38,1.9,78.1480879624124,62.642603839276816,False,False,False,False
39,1.95,77.93806375189615,62.87711298768424,False,False,False,False
40,2.0,77.90693460418524,62.578472282717435,False,False,False,False
41,2.05,76.83951252247934,61.79589944071752,False,False,False,False
42,2.1,77.57795270240779,62.349807963509534,False,False,False,False
43,2.15,78.30537099768154,62.88282227711376,False,False,False,False
44,2.2,77.40247389858754,62.44366238544276,False,False,False,False
45,2.25,77.70913571581941,62.7748593440748,False,False,False,False
46,2.3,78.06563472941791,62.914742229413136,False,False,False,False
47,2.35,78.02351221236698,62.01806654502729,False,False,False,False
48,2.4,78.78582299124311,62.22543539590101,False,False,False,False
49,2.45,78.53753537444128,62.45612295347109,False,False,False,False
50,2.5,78.13136249754028,62.81199973477141,False,False,False,False
51,2.55,77.56044143169157,62.42817853641182,False,False,False,False
52,2.6,79.84609736251008,61.625014365970074,False,False,False,False
53,2.65,78.26132778437959,62.50696602912157,False,False,False,False
54,2.7,78.82373040647627,62.23127284328375,False,False,False,False
55,2.75,77.18372322422026,62.14566364416918,False,False,False,False
56,2.8,78.13732540362435,61.94508982092414,False,False,False,False
57,2.85,78.1552414612786,61.97264153132986,False,False,False,False
58,2.9,77.8643219629649,62.060919183158425,False,False,False,False
59,2.95,78.8285540473497,62.189572745127826,False,False,False,False
60,3.0,78.10352187229675,62.38192138314316,False,False,False,False
61,3.05,78.25220930197963,62.37008277955293,False,False,False,False
62,3.1,78.16979665409377,61.93416523911811,False,False,False,False
63,3.15,78.18925677764514,61.440102092756405,False,False,False,False
64,3.2,77.73266309622772,63.1981214100904,False,False,False,False
65,3.25,78.67786531441834,62.54217473939566,False,False,False,False
66,3.3,77.82671748880804,62.19877042324368,False,False,False,False
67,3.35,77.98198242492084,62.49688303392579,False,False,False,False
68,3.4,78.95653096380012,63.35020461758817,False,False,False,False
69,3.45,79.64001187716273,63.26948270284295,False,False,False,False
70,3.5,78.30750234892363,61.81725068962387,False,False,False,False
71,3.55,77.35701939819964,62.69238242845265,False,False,False,False
72,3.6,77.8868715729469,62.71596890408808,False,False,False,False
73,3.65,78.77341054379977,63.46397414699037,False,False,False,False
74,3.7,77.92742197926248,62.232774224491074,False,False,False,False
75,3.75,78.34395057024977,62.61389412301596,False,False,False,False
76,3.8,78.40090384144311,62.23955774167793,False,False,False,False
77,3.85,77.569573375959,62.38581119381657,False,False,False,False
78,3.9,78.87283883397251,62.72622038330939,False,False,False,False
79,3.95,78.28329724246176,62.34070635372044,False,False,False,False
80,4.0,78.08109446990044,62.66951116093397,False,False,False,False
81,4.05,77.88655121023551,62.996159680662274,False,False,False,False
82,4.1,77.30287517135922,63.1398529020036,False,False,False,False
83,4.15,77.63232893555178,62.4363371728656,False,False,False,False
84,4.2,77.48083089256374,63.17099544304725,False,False,False,False
85,4.25,79.24346080959096,62.79514281588656,False,False,False,False
86,4.3,78.44447920497345,63.22767493198521,False,False,False,False
87,4.35,77.42373635153278,62.16736592819918,False,False,False,False
88,4.4,79.05640651672842,62.53020100506408,False,False,False,False
89,4.45,78.89167937621602,62.613584636241605,False,False,False,False
90,4.5,77.751214918849,62.275214360457646,False,False,False,False
91,4.55,78.15326274612673,63.06878850563505,False,False,False,False
92,4.6,77.90552699357022,63.02329304535461,False,False,False,False
93,4.65,78.55983137491539,63.329279224173696,False,False,False,False
94,4.7,78.5722392352707,63.141154848349366,False,False,False,False
95,4.75,78.0960038318803,64.0071202431845,False,False,False,False
96,4.8,77.82027143602514,63.55932056505955,False,False,False,False
97,4.85,78.4767622288448,63.47113025573416,False,False,False,False
98,4.9,78.62761685783569,63.00042251931356,False,False,False,False
99,4.95,79.28294856890325,63.95249356365389,False,False,False,False
100,5.0,79.06106055966477,63.06566485972933,False,False,False,False
101,5.05,79.11651106881028,63.50767657983837,False,False,False,False
102,5.1,78.24479721699286,63.036306028754204,False,False,False,False
103,5.15,77.74969866308558,63.369852918083694,False,False,False,False
104,5.2,78.01028766645338,63.47283913907077,False,False,False,False
105,5.25,78.74203065482783,63.686523363159154,False,False,False,False
106,5.3,78.48841059715826,62.82844170686375,False,False,False,False
107,5.35,78.97503263822934,63.277171426132576,False,False,False,False
108,5.4,79.27663689534685,62.79756930748899,False,False,False,False
109,5.45,79.24495674164294,63.156645414567656,False,False,False,False
110,5.5,77.96399492951382,63.3546718612186,False,False,False,False
111,5.55,80.48783797779222,63.46229266401417,False,False,False,False
112,5.6,79.26371058202977,63.28624287865899,False,False,False,False
113,5.65,79.43733507929795,62.828811308129836,False,False,False,False
114,5.7,79.36205013084897,63.81725708788685,False,False,False,False
115,5.75,79.08950669054542,62.559888661139716,False,False,False,False
116,5.8,79.88655756369069,63.5735652307724,False,False,False,False
117,5.85,78.73291283678105,63.432852100538106,False,False,False,False
118,5.9,79.67527969813283,63.41447860689144,False,False,False,False
119,5.95,80.20233267454925,64.03047420757416,False,False,False,False
120,6.0,79.5238138791898,63.62279849417525,False,False,False,False
121,6.05,79.75222177771849,64.34878792037443,False,False,False,False
122,6.1,78.64152278235579,64.08042666552834,False,False,False,False
123,6.15,79.71336690996098,63.32528520485104,False,False,False,False
124,6.2,79.74101255479563,63.54212793151979,False,False,False,False
125,6.25,79.58204897424255,63.38748965702467,False,False,False,False
126,6.3,79.89872374681329,64.19917826148165,False,False,False,False
127,6.35,78.71615632722583,63.97218234112146,False,False,False,False
128,6.4,80.48043752713818,63.08730727603882,False,False,False,False
129,6.45,80.96705198568418,63.960059697463706,False,False,False,False
130,6.5,79.13710172655014,63.73950887514728,False,False,False,False
131,6.55,80.03114037776184,63.998071731764014,False,False,False,False
132,6.6,79.29431490935036,62.94336897286753,False,False,False,False
133,6.65,78.91491592631881,63.52162563104434,False,False,False,False
134,6.7,80.09616170138555,63.74763436521863,False,False,False,False
135,6.75,79.27389331998823,63.349978679744275,False,False,False,False
136,6.8,79.81130676749972,63.95221891499953,False,False,False,False
137,6.85,80.49182381654161,63.24673035602327,False,False,False,False
138,6.9,79.65849313925138,63.63780479398862,False,False,False,False
139,6.95,79.59394922795033,64.06197077596944,False,False,False,False
140,7.0,79.2076110813123,63.822222677350936,False,False,False,False
141,7.05,79.01560205426074,63.01635834483191,False,False,False,False
142,7.1,79.5507273952539,64.42685580499081,False,False,False,False
143,7.15,79.23921260861876,64.16417614215138,False,False,False,False
144,7.2,79.7573086788192,63.95957337293693,False,False,False,False
145,7.25,78.99681289150892,64.7109266080262,False,False,False,False
146,7.3,79.20349194871868,63.450132064324876,False,False,False,False
147,7.35,79.37549329166568,64.05441582747902,False,False,False,False
148,7.4,79.72184404198325,62.823399909372654,False,False,False,False
149,7.45,79.70326166374173,64.44096906145407,False,False,False,False
150,7.5,79.60509388225917,64.19952468519527,False,False,False,False
151,7.55,79.34072453740825,64.4440279367245,False,False,False,False
152,7.6,79.85496575995553,63.312189231030025,False,False,False,False
153,7.65,80.2614807058734,64.86777105532481,False,False,False,False
154,7.7,79.82154650689453,64.02067302077597,False,False,False,False
155,7.75,79.38168485878292,64.25407445532544,False,False,False,False
